,SceneNumber,audio_specifications,audio_maps
0,1,"Whimper,Speech,Breathing,Silence,Screaming","Human Activities,Speech,Expression,Object Sound"
1,2,"Whimper,Speech,Breathing,Silence,Screaming","Human Activities,Speech,Expression,Object Sound"
