,Unnamed: 0,SceneNumber,StartTime (Seconds),StartTime (TimeStamp),EndTime (Seconds),EndTime (TimeStamp),Path
0,0,1,2,0:00:02,110,0:01:50,Scenes/1.mp4
1,1,2,2,0:00:02,140,0:02:20,Scenes/2.mp4
