,SceneNumber,image_name,settings1,settings2,settings3,objects,people count,activities_content
70,1,/content/output/7//FramesSavedHere/1/img_000071.png,others,red light,side,others,group,others
71,1,/content/output/7//FramesSavedHere/1/img_000072.png,others,others,others,Intruders,group,violence
72,1,/content/output/7//FramesSavedHere/1/img_000073.png,others,others,side,Buses,group,others
73,1,/content/output/7//FramesSavedHere/1/img_000074.png,vehicles,others,others,Trains,single,others
74,1,/content/output/7//FramesSavedHere/1/img_000075.png,others,blue light,closeup,Buses,single,others
75,1,/content/output/7//FramesSavedHere/1/img_000076.png,others,low light,others,others,others,others
76,1,/content/output/7//FramesSavedHere/1/img_000077.png,others,blue light,others,Buses,single,others
77,1,/content/output/7//FramesSavedHere/1/img_000078.png,others,others,others,Trains,group,transportation
78,1,/content/output/7//FramesSavedHere/1/img_000079.png,others,others,others,Buses,single,transportation
79,1,/content/output/7//FramesSavedHere/1/img_000080.png,others,others,others,Trains,single,transportation
80,2,/content/output/7//FramesSavedHere/2/img_000001.png,others,others,others,Trains,single,talking
81,2,/content/output/7//FramesSavedHere/2/img_000002.png,others,others,others,Trains,single,talking
82,2,/content/output/7//FramesSavedHere/2/img_000003.png,others,others,others,Trains,single,talking
83,2,/content/output/7//FramesSavedHere/2/img_000004.png,others,others,others,Briefcases,others,substance use
84,2,/content/output/7//FramesSavedHere/2/img_000005.png,others,others,others,Briefcases,single,others
85,2,/content/output/7//FramesSavedHere/2/img_000006.png,others,low light,others,Briefcases,single,others
86,2,/content/output/7//FramesSavedHere/2/img_000007.png,others,low light,others,others,single,others
87,2,/content/output/7//FramesSavedHere/2/img_000008.png,others,red light,side,others,group,others
88,2,/content/output/7//FramesSavedHere/2/img_000009.png,others,others,closeup,others,single,others
89,2,/content/output/7//FramesSavedHere/2/img_000010.png,others,others,closeup,others,single,others
90,2,/content/output/7//FramesSavedHere/2/img_000011.png,others,others,others,others,single,others
91,2,/content/output/7//FramesSavedHere/2/img_000012.png,others,others,closeup,others,others,others
92,2,/content/output/7//FramesSavedHere/2/img_000013.png,others,others,others,Trains,single,transportation
93,2,/content/output/7//FramesSavedHere/2/img_000014.png,others,others,others,Trains,single,talking
94,2,/content/output/7//FramesSavedHere/2/img_000015.png,others,others,others,Trains,single,talking
